entity,code,year,solar_(twh_-_equivalent)
Africa,,1971,0.0
Africa,,1972,0.0
Africa,,1973,0.0
Africa,,1974,0.0
Africa,,1975,0.0
Africa,,1976,0.0
Africa,,1977,0.0
Africa,,1978,0.0
Africa,,1979,0.0
Africa,,1980,0.0
Africa,,1981,0.0
Africa,,1982,0.0
Africa,,1983,0.0
Africa,,1984,0.0
Africa,,1985,0.0
Africa,,1986,0.0
Africa,,1987,0.0
Africa,,1988,0.0
Africa,,1989,0.0
Africa,,1990,0.0
Africa,,1991,0.0
Africa,,1992,0.0
Africa,,1993,0.0
Africa,,1994,0.0
Africa,,1995,0.0
Africa,,1996,0.0
Africa,,1997,0.0
Africa,,1998,0.0
Africa,,1999,0.0
Africa,,2000,0.035752952
Africa,,2001,0.044716008
Africa,,2002,0.048787553
Africa,,2003,0.057321742
Africa,,2004,0.06881922
Africa,,2005,0.08097015
Africa,,2006,0.10333422
Africa,,2007,0.13014653
Africa,,2008,0.18204114
Africa,,2009,0.24054939
Africa,,2010,0.56622505
Africa,,2011,1.6285458
Africa,,2012,2.6149163
Africa,,2013,2.02142
Africa,,2014,5.0303717
Africa,,2015,9.552474
Africa,,2016,14.083063
Africa,,2017,18.359642
Africa,,2018,22.025198
Africa,,2019,29.036043
Africa,,2020,39.71691
Africa,,2021,45.35677
Africa,,2022,46.35748
Africa,,2023,49.8679
Africa (EI),,1971,0.0
Africa (EI),,1972,0.0
Africa (EI),,1973,0.0
Africa (EI),,1974,0.0
Africa (EI),,1975,0.0
Africa (EI),,1976,0.0
Africa (EI),,1977,0.0
Africa (EI),,1978,0.0
Africa (EI),,1979,0.0
Africa (EI),,1980,0.0
Africa (EI),,1981,0.0
Africa (EI),,1982,0.0
Africa (EI),,1983,0.0
Africa (EI),,1984,0.0
Africa (EI),,1985,0.0
Africa (EI),,1986,0.0
Africa (EI),,1987,0.0
Africa (EI),,1988,0.0
Africa (EI),,1989,0.0
Africa (EI),,1990,0.0
Africa (EI),,1991,0.0
Africa (EI),,1992,0.0
Africa (EI),,1993,0.0
Africa (EI),,1994,0.0
Africa (EI),,1995,0.0
Africa (EI),,1996,0.0
Africa (EI),,1997,0.0
Africa (EI),,1998,0.0
Africa (EI),,1999,0.0
Africa (EI),,2000,0.035753056
Africa (EI),,2001,0.04471611
Africa (EI),,2002,0.048787497
Africa (EI),,2003,0.05732194
Africa (EI),,2004,0.068819165
Africa (EI),,2005,0.08097
Africa (EI),,2006,0.10333444
Africa (EI),,2007,0.13014638
Africa (EI),,2008,0.18204111
Africa (EI),,2009,0.24054916
Africa (EI),,2010,0.5662247
Africa (EI),,2011,1.6285458
Africa (EI),,2012,2.6149163
Africa (EI),,2013,2.02142
Africa (EI),,2014,5.030372
Africa (EI),,2015,9.552474
Africa (EI),,2016,14.083063
Africa (EI),,2017,18.359642
Africa (EI),,2018,22.025198
Africa (EI),,2019,29.036041
Africa (EI),,2020,39.71691
Africa (EI),,2021,45.356766
Africa (EI),,2022,46.357483
Africa (EI),,2023,49.867897
Algeria,DZA,1990,0.0
Algeria,DZA,1991,0.0
Algeria,DZA,1992,0.0
Algeria,DZA,1993,0.0
Algeria,DZA,1994,0.0
Algeria,DZA,1995,0.0
Algeria,DZA,1996,0.0
Algeria,DZA,1997,0.0
Algeria,DZA,1998,0.0
Algeria,DZA,1999,0.0
Algeria,DZA,2000,0.0
Algeria,DZA,2001,0.0
Algeria,DZA,2002,0.0
Algeria,DZA,2003,0.0
Algeria,DZA,2004,0.0
Algeria,DZA,2005,0.0
Algeria,DZA,2006,0.0
Algeria,DZA,2007,0.0
Algeria,DZA,2008,0.0
Algeria,DZA,2009,0.0
Algeria,DZA,2010,0.025257777
Algeria,DZA,2011,0.049983334
Algeria,DZA,2012,0.07327278
Algeria,DZA,2013,0.077946946
Algeria,DZA,2014,0.16254583
Algeria,DZA,2015,0.1561925
Algeria,DZA,2016,0.65587413
Algeria,DZA,2017,1.3412902
Algeria,DZA,2018,1.5953735
Algeria,DZA,2019,1.6211231
Algeria,DZA,2020,1.799008
Algeria,DZA,2021,1.7374732
Algeria,DZA,2022,1.6920305
Algeria,DZA,2023,1.6858824
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.0
Argentina,ARG,1997,0.0
Argentina,ARG,1998,5.026889e-05
Argentina,ARG,1999,7.688166e-05
Argentina,ARG,2000,0.00010645166
Argentina,ARG,2001,0.000126325
Argentina,ARG,2002,0.00013718527
Argentina,ARG,2003,0.00018850806
Argentina,ARG,2004,0.00020171555
Argentina,ARG,2005,0.00023193638
Argentina,ARG,2006,0.00025608638
Argentina,ARG,2007,0.00030792778
Argentina,ARG,2008,0.00040380552
Argentina,ARG,2009,0.00021248082
