entity,code,year,wind_(twh_-_equivalent)
Africa,,1965,0.0
Africa,,1966,0.0
Africa,,1967,0.0
Africa,,1968,0.0
Africa,,1969,0.0
Africa,,1970,0.0
Africa,,1971,0.0
Africa,,1972,0.0
Africa,,1973,0.0
Africa,,1974,0.0
Africa,,1975,0.0
Africa,,1976,0.0
Africa,,1977,0.0
Africa,,1978,0.0
Africa,,1979,0.0
Africa,,1980,0.0
Africa,,1981,0.0
Africa,,1982,0.0
Africa,,1983,0.0
Africa,,1984,0.0
Africa,,1985,0.0
Africa,,1986,0.0
Africa,,1987,0.0
Africa,,1988,0.0
Africa,,1989,0.0
Africa,,1990,0.0
Africa,,1991,0.0
Africa,,1992,0.0
Africa,,1993,0.005913972
Africa,,1994,0.015967749
Africa,,1995,0.018629028
Africa,,1996,0.020994611
Africa,,1997,0.021290332
Africa,,1998,0.02247311
Africa,,1999,0.058548413
Africa,,2000,0.51895165
Africa,,2001,1.2208858
Africa,,2002,1.2947483
Africa,,2003,1.5533037
Africa,,2004,2.2139196
Africa,,2005,2.234574
Africa,,2006,2.4260116
Africa,,2007,2.8737857
Africa,,2008,3.6865554
Africa,,2009,4.439171
Africa,,2010,6.341432
Africa,,2011,6.587177
Africa,,2012,6.902971
Africa,,2013,9.799588
Africa,,2014,13.714155
Africa,,2015,24.002117
Africa,,2016,29.925493
Africa,,2017,36.231094
Africa,,2018,39.06295
Africa,,2019,50.83042
Africa,,2020,50.192425
Africa,,2021,60.077843
Africa,,2022,63.455307
Africa,,2023,72.270676
Africa (EI),,1965,0.0
Africa (EI),,1966,0.0
Africa (EI),,1967,0.0
Africa (EI),,1968,0.0
Africa (EI),,1969,0.0
Africa (EI),,1970,0.0
Africa (EI),,1971,0.0
Africa (EI),,1972,0.0
Africa (EI),,1973,0.0
Africa (EI),,1974,0.0
Africa (EI),,1975,0.0
Africa (EI),,1976,0.0
Africa (EI),,1977,0.0
Africa (EI),,1978,0.0
Africa (EI),,1979,0.0
Africa (EI),,1980,0.0
Africa (EI),,1981,0.0
Africa (EI),,1982,0.0
Africa (EI),,1983,0.0
Africa (EI),,1984,0.0
Africa (EI),,1985,0.0
Africa (EI),,1986,0.0
Africa (EI),,1987,0.0
Africa (EI),,1988,0.0
Africa (EI),,1989,0.0
Africa (EI),,1990,0.0
Africa (EI),,1991,0.0
Africa (EI),,1992,0.0
Africa (EI),,1993,0.005913972
Africa (EI),,1994,0.015967749
Africa (EI),,1995,0.018629028
Africa (EI),,1996,0.020994611
Africa (EI),,1997,0.021290332
Africa (EI),,1998,0.02247311
Africa (EI),,1999,0.05854833
Africa (EI),,2000,0.51895165
Africa (EI),,2001,1.2208859
Africa (EI),,2002,1.2947483
Africa (EI),,2003,1.5533036
Africa (EI),,2004,2.2139199
Africa (EI),,2005,2.234574
Africa (EI),,2006,2.426012
Africa (EI),,2007,2.873786
Africa (EI),,2008,3.6865556
Africa (EI),,2009,4.439171
Africa (EI),,2010,6.3414316
Africa (EI),,2011,6.5871763
Africa (EI),,2012,6.9029713
Africa (EI),,2013,9.799588
Africa (EI),,2014,13.714156
Africa (EI),,2015,24.002117
Africa (EI),,2016,29.925491
Africa (EI),,2017,36.23109
Africa (EI),,2018,39.06295
Africa (EI),,2019,50.83042
Africa (EI),,2020,50.192425
Africa (EI),,2021,60.077843
Africa (EI),,2022,63.455307
Africa (EI),,2023,72.27067
Algeria,DZA,1990,0.0
Algeria,DZA,1991,0.0
Algeria,DZA,1992,0.0
Algeria,DZA,1993,0.0
Algeria,DZA,1994,0.0
Algeria,DZA,1995,0.0
Algeria,DZA,1996,0.0
Algeria,DZA,1997,0.0
Algeria,DZA,1998,0.0
Algeria,DZA,1999,0.0
Algeria,DZA,2000,0.0
Algeria,DZA,2001,0.0
Algeria,DZA,2002,0.0
Algeria,DZA,2003,0.0
Algeria,DZA,2004,0.0
Algeria,DZA,2005,0.0
Algeria,DZA,2006,0.0
Algeria,DZA,2007,0.0
Algeria,DZA,2008,0.0
Algeria,DZA,2009,0.0
Algeria,DZA,2010,0.0
Algeria,DZA,2011,0.0
Algeria,DZA,2012,0.0
Algeria,DZA,2013,0.0
Algeria,DZA,2014,0.0027090972
Algeria,DZA,2015,0.05116639
Algeria,DZA,2016,0.051003054
Algeria,DZA,2017,0.050564446
Algeria,DZA,2018,0.026457276
Algeria,DZA,2019,0.02635972
Algeria,DZA,2020,0.020222416
Algeria,DZA,2021,0.027475111
Algeria,DZA,2022,0.04171417
Algeria,DZA,2023,0.0415625
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.028440276
Argentina,ARG,1997,0.04314833
Argentina,ARG,1998,0.09622333
Argentina,ARG,1999,0.10284694
Argentina,ARG,2000,0.102779165
Argentina,ARG,2001,0.14501223
Argentina,ARG,2002,0.21425694
Argentina,ARG,2003,0.22607638
Argentina,ARG,2004,0.20876417
Argentina,ARG,2005,0.20536307
Argentina,ARG,2006,0.19815388
Argentina,ARG,2007,0.17416167
Argentina,ARG,2008,0.117885
Argentina,ARG,2009,0.10285972
Argentina,ARG,2010,0.07036527
Argentina,ARG,2011,0.07335416
Argentina,ARG,2012,1.0141377
Argentina,ARG,2013,1.2355814
Argentina,ARG,2014,1.6782616
Argentina,ARG,2015,1.5978347
Argentina,ARG,2016,1.4653004
