Entity,Code,Year,Electricity generation as share of direct primary energy consumption - %
Africa,,1985,12.168292
Africa,,1986,12.483747
Africa,,1987,12.477354
Africa,,1988,12.329112
Africa,,1989,12.816298
Africa,,1990,12.860144
Africa,,1991,13.162788
Africa,,1992,13.050608
Africa,,1993,13.4264345
Africa,,1994,13.467757
Africa,,1995,13.373507
Africa,,1996,13.7543125
Africa,,1997,14.138324
Africa,,1998,14.143846
Africa,,1999,14.14055
Africa,,2000,14.608004
Africa,,2001,14.68818
Africa,,2002,15.419026
Africa,,2003,15.292368
Africa,,2004,15.091034
Africa,,2005,15.604019
Africa,,2006,16.020634
Africa,,2007,16.035238
Africa,,2008,15.390424
Africa,,2009,15.200238
Africa,,2010,15.893445
Africa,,2011,16.147867
Africa,,2012,16.309513
Africa,,2013,16.229414
Africa,,2014,16.39929
Africa,,2015,16.506203
Africa,,2016,16.371128
Africa,,2017,16.244085
Africa,,2018,16.342031
Africa,,2019,16.386984
Africa,,2020,17.126003
Africa,,2021,16.420393
Africa,,2022,16.10771
Africa (EI),,1985,12.168292
Africa (EI),,1986,12.483747
Africa (EI),,1987,12.477354
Africa (EI),,1988,12.32911
Africa (EI),,1989,12.816298
Africa (EI),,1990,12.860143
Africa (EI),,1991,13.162789
Africa (EI),,1992,13.050609
Africa (EI),,1993,13.426434
Africa (EI),,1994,13.467758
Africa (EI),,1995,13.373507
Africa (EI),,1996,13.7543125
Africa (EI),,1997,14.138324
Africa (EI),,1998,14.1438465
Africa (EI),,1999,14.14055
Africa (EI),,2000,14.578965
Africa (EI),,2001,14.677473
Africa (EI),,2002,15.418767
Africa (EI),,2003,15.291959
Africa (EI),,2004,15.110977
Africa (EI),,2005,15.6032505
Africa (EI),,2006,16.01106
Africa (EI),,2007,16.054392
Africa (EI),,2008,15.441742
Africa (EI),,2009,15.3444805
Africa (EI),,2010,15.913218
Africa (EI),,2011,16.145092
Africa (EI),,2012,16.257936
Africa (EI),,2013,16.327734
Africa (EI),,2014,16.452057
Africa (EI),,2015,16.512148
Africa (EI),,2016,16.24487
Africa (EI),,2017,16.2655
Africa (EI),,2018,16.338636
Africa (EI),,2019,16.402872
Africa (EI),,2020,17.06499
Africa (EI),,2021,16.439724
Africa (EI),,2022,16.500341
Africa (EI),,2023,16.618227
Algeria,DZA,1985,4.7137647
Algeria,DZA,1986,4.690493
Algeria,DZA,1987,4.4844317
Algeria,DZA,1988,4.580808
Algeria,DZA,1989,5.1700406
Algeria,DZA,1990,5.1171
Algeria,DZA,1991,5.5678306
Algeria,DZA,1992,5.7172794
Algeria,DZA,1993,6.530013
Algeria,DZA,1994,6.592589
Algeria,DZA,1995,6.3034115
Algeria,DZA,1996,6.6698847
Algeria,DZA,1997,7.2207127
Algeria,DZA,1998,7.5543575
Algeria,DZA,1999,7.9595056
Algeria,DZA,2000,8.471299
Algeria,DZA,2001,8.5682955
Algeria,DZA,2002,8.591115
Algeria,DZA,2003,8.789777
Algeria,DZA,2004,8.946349
Algeria,DZA,2005,9.284523
Algeria,DZA,2006,9.29991
Algeria,DZA,2007,9.315648
Algeria,DZA,2008,9.509702
Algeria,DZA,2009,8.589834
Algeria,DZA,2010,10.424943
Algeria,DZA,2011,11.04128
Algeria,DZA,2012,11.318107
Algeria,DZA,2013,11.153551
Algeria,DZA,2014,10.983035
Algeria,DZA,2015,11.1546755
Algeria,DZA,2016,11.524307
Algeria,DZA,2017,12.212356
Algeria,DZA,2018,11.475487
Algeria,DZA,2019,11.769616
Algeria,DZA,2020,12.231361
Algeria,DZA,2021,12.094868
Algeria,DZA,2022,12.028443
Algeria,DZA,2023,12.2060375
Argentina,ARG,1985,11.219245
Argentina,ARG,1986,11.397924
Argentina,ARG,1987,11.623554
Argentina,ARG,1988,10.965446
Argentina,ARG,1989,10.872554
Argentina,ARG,1990,10.976191
Argentina,ARG,1991,11.319816
Argentina,ARG,1992,11.03369
Argentina,ARG,1993,11.969728
Argentina,ARG,1994,12.151947
Argentina,ARG,1995,11.927962
Argentina,ARG,1996,11.647255
Argentina,ARG,1997,12.177381
Argentina,ARG,1998,11.916692
Argentina,ARG,1999,12.606655
Argentina,ARG,2000,14.110419
Argentina,ARG,2001,15.075958
Argentina,ARG,2002,14.736146
Argentina,ARG,2003,14.808996
Argentina,ARG,2004,14.929252
Argentina,ARG,2005,14.840102
Argentina,ARG,2006,15.233399
Argentina,ARG,2007,14.302794
Argentina,ARG,2008,15.135845
Argentina,ARG,2009,15.802916
Argentina,ARG,2010,15.5616
Argentina,ARG,2011,15.404262
Argentina,ARG,2012,15.481276
Argentina,ARG,2013,15.31276
Argentina,ARG,2014,15.202485
Argentina,ARG,2015,15.6913805
Argentina,ARG,2016,15.894152
Argentina,ARG,2017,15.738203
Argentina,ARG,2018,16.040823
Argentina,ARG,2019,16.286238
Argentina,ARG,2020,18.221241
Argentina,ARG,2021,17.365648
Argentina,ARG,2022,15.876417
Argentina,ARG,2023,16.523508
Asia,,1985,10.614102
Asia,,1986,10.765168
